0:00:04.13	(865, 253), (1132, 574)
0:00:04.14	(864, 253), (1131, 574)
0:00:04.15	(879, 255), (1145, 574)
0:00:04.16	(891, 257), (1156, 574)
0:00:04.17	(901, 256), (1169, 576)
0:00:04.18	(906, 256), (1176, 575)
0:00:04.19	(906, 256), (1175, 575)
0:00:04.20	(912, 253), (1183, 578)
0:00:04.21	(914, 253), (1186, 578)
0:00:04.22	(914, 253), (1186, 577)
0:00:04.23	(907, 256), (1178, 575)
0:00:04.24	(904, 255), (1174, 574)
0:00:04.25	(887, 256), (1151, 574)
0:00:04.26	(887, 256), (1151, 574)
0:00:04.27	(872, 256), (1139, 573)
0:00:04.28	(850, 237), (1116, 562)
0:00:04.29	(850, 237), (1116, 562)
0:00:05.0	(837, 237), (1097, 557)
0:00:05.1	(824, 238), (1082, 550)
0:00:05.2	(783, 224), (1044, 539)
0:00:05.3	(768, 214), (1025, 538)
0:00:05.4	(749, 214), (1004, 534)
0:00:05.5	(724, 217), (984, 530)
0:00:05.6	(724, 217), (984, 530)
0:00:05.7	(707, 213), (960, 527)
0:00:05.8	(691, 205), (943, 520)
0:00:05.9	(646, 204), (897, 518)
0:00:05.10	(646, 204), (897, 518)
0:00:05.11	(634, 202), (883, 513)
0:00:05.12	(615, 199), (869, 515)
0:00:05.13	(588, 196), (837, 512)
0:00:05.14	(588, 198), (834, 512)
0:00:05.15	(588, 198), (834, 512)
0:00:05.16	(581, 196), (827, 512)
0:00:05.17	(577, 194), (823, 512)
0:00:05.18	(573, 194), (820, 511)
0:00:05.19	(574, 192), (821, 511)
0:00:05.20	(574, 192), (821, 511)
0:00:05.21	(574, 193), (823, 509)
0:00:05.22	(590, 190), (838, 504)
0:00:05.23	(595, 193), (841, 492)
0:00:05.24	(595, 193), (841, 492)
0:00:05.25	(605, 190), (848, 478)
0:00:05.26	(618, 187), (853, 458)
0:00:05.27	(629, 191), (870, 458)
0:00:05.28	(653, 190), (885, 458)
0:00:05.29	(667, 163), (901, 446)
0:00:06.0	(681, 172), (912, 443)
0:00:06.1	(681, 172), (912, 443)
0:00:06.2	(711, 172), (907, 442)
0:00:06.3	(718, 173), (911, 436)
0:00:06.4	(718, 181), (912, 436)
0:00:06.5	(718, 181), (912, 436)
0:00:06.6	(718, 184), (910, 437)
0:00:06.16	(699, 178), (929, 439)
0:00:06.17	(694, 177), (924, 446)
0:00:06.18	(686, 180), (917, 445)
0:00:06.19	(678, 176), (909, 450)
0:00:06.20	(678, 176), (909, 450)
0:00:06.21	(669, 179), (900, 452)
0:00:06.22	(644, 191), (886, 473)
0:00:06.23	(644, 191), (886, 473)
0:00:06.24	(633, 195), (879, 476)
0:00:06.25	(628, 193), (875, 484)
0:00:06.26	(623, 184), (870, 483)
0:00:06.27	(614, 189), (864, 502)
0:00:06.28	(614, 189), (865, 502)
0:00:06.29	(610, 189), (862, 503)
0:00:07.0	(606, 192), (855, 510)
0:00:07.1	(602, 192), (853, 514)
0:00:07.2	(602, 192), (853, 514)
0:00:07.3	(603, 196), (852, 515)
0:00:07.4	(604, 202), (851, 515)
0:00:07.5	(604, 202), (851, 515)
0:00:07.6	(605, 203), (851, 519)
0:00:07.7	(604, 204), (851, 521)
0:00:07.8	(604, 203), (850, 520)
0:00:07.9	(604, 203), (850, 520)
0:00:07.10	(604, 203), (850, 519)
0:00:07.11	(605, 204), (851, 519)
0:00:07.12	(601, 202), (849, 517)
0:00:07.13	(602, 202), (846, 511)
0:00:07.14	(602, 201), (846, 511)
0:00:07.15	(605, 201), (845, 511)
